name,closest
ALL THAT JAVA Tivoli,
Carriage Towne Bar & Grille,
Pearl's Bay Villa Restaurant and Marina,
House of Fortune Inc,
Pakwan Restaurant - Fremont,
Bristol Gardens & Grill,
"Wendy Conquest, MA, LPC, CSAT-S",[270]
Darcy's cafe and slots,
Anderson's in the Village,"[1965, 2633]"
Liberty Family Dining,
Steve's Pizza Palace,
97 Cafe,"[19, 26, 61, 143, 200, 249, 282, 283, 365, 407, 547, 562, 610, 690, 811, 857, 948, 998, 1001, 1026, 1107, 1325, 1375, 1399, 1442, 1488, 1533, 1544, 1739, 1987, 2016, 2068, 2126, 2159, 2304, 2352, 2412, 2495, 2508, 2520, 2573, 2615, 2629, 2685, 2697, 2702, 2709, 2721, 2725, 2776, 2918]"
Loading Zone II,
Cornerstone Coffee and Sweets,
Familia Bar & Grill,
Saigon's Restaurant,[2272]
Buttercup Cafe North Berwick,
Tasty Pizza North,
Chen's Chinese Bistro,[2643]
Cafe Arnou Cocktail & Wine Bar,"[11, 547, 2725]"
Side Track,
Main Street Cucina,"[423, 1391, 1839, 2112]"
G.W. Tavern,
La Postreria y más café,
Bent Bean,"[48, 456, 1371]"
The Broken Paddle Coffee House,"[1219, 1437, 1490, 2038, 2067, 2404, 2642, 2712, 2867]"
Cafe Azucar,"[11, 61, 249, 282, 283, 407, 547, 562, 610, 690, 811, 857, 948, 998, 1026, 1107, 1375, 1399, 1442, 1488, 1544, 1739, 1987, 2016, 2068, 2126, 2159, 2352, 2508, 2520, 2573, 2615, 2629, 2697, 2709, 2721, 2725]"
Village Book & Table,
C'u na mBan Kitchens,
Bolton Ridge Bar & Grill,
Red Arrow Restaurant,
Why Not Take a Break Cafe,
Best Western Heritage Inn,
Patty Ann's Cafe,
Arber Cafe LLC,
Cuatlatl's Family Kitchen,
Rocco's Italian Grille & Bar,
The Covington Restaurant,"[174, 509, 717, 792, 1018, 1227, 1278, 1941, 2030]"
ABG's Bar,
Pera Cafe,
Riggatti's Wood Fired Pizza St. George,
"Bart W. Mcdonald, MPT","[849, 1059, 1311]"
Enve Beauty Bar,
THE ROCK BAR + GRILL,"[64, 334, 789, 854, 1333, 1374, 1624, 1931, 2094, 2232, 2723, 2909, 2914, 2980]"
R & C Cafe,"[179, 460, 743, 1430]"
Haven's Cafe,
J & B Restaurant,"[1358, 2851]"
1818 Central Ltd,"[198, 358, 719, 1289, 1743, 2356]"
Bentley's Tavern,[24]
Alverley Express BBQ House,
The Refuge Café,"[140, 519, 532, 584, 789, 1056]"
Nellie's Restaurant,"[761, 915, 995]"
North Star Grille,"[867, 2153]"
Culbokie Inn,
Pizza Village of Beulaville,
The Alaskan Hotel & Bar,"[89, 1018, 1374, 1562, 1699, 2030, 2498, 2603]"
Ginger & Garlic Chinese & Sushi Restaurant,
Maulana's Cafe,
Teddy's Donuts,
DickieJo's Burgers,
U.S. Pizza Co Fayetteville,
